Dátum;Megye;Fertőzöttek;Új fertőzöttek
2020.03.31;Bács-Kiskun megye;8;8
2020.04.01;Bács-Kiskun megye;8;0
2020.04.02;Bács-Kiskun megye;15;7
2020.04.03;Bács-Kiskun megye;17;2
2020.04.04;Bács-Kiskun megye;18;1
2020.04.05;Bács-Kiskun megye;19;1
2020.04.06;Bács-Kiskun megye;19;0
2020.04.07;Bács-Kiskun megye;19;0
2020.04.08;Bács-Kiskun megye;19;0
2020.04.09;Bács-Kiskun megye;19;0
2020.04.10;Bács-Kiskun megye;21;2
2020.04.11;Bács-Kiskun megye;22;1
2020.04.12;Bács-Kiskun megye;22;0
2020.04.13;Bács-Kiskun megye;22;0
2020.04.14;Bács-Kiskun megye;22;0
2020.04.15;Bács-Kiskun megye;22;0
2020.04.16;Bács-Kiskun megye;22;0
2020.04.17;Bács-Kiskun megye;22;0
2020.04.18;Bács-Kiskun megye;23;1
2020.04.19;Bács-Kiskun megye;23;0
2020.04.20;Bács-Kiskun megye;23;0
2020.04.21;Bács-Kiskun megye;23;0
2020.04.22;Bács-Kiskun megye;23;0
2020.04.23;Bács-Kiskun megye;23;0
2020.04.24;Bács-Kiskun megye;23;0
2020.04.25;Bács-Kiskun megye;23;0
2020.04.26;Bács-Kiskun megye;23;0
2020.04.27;Bács-Kiskun megye;23;0
2020.04.28;Bács-Kiskun megye;23;0
2020.04.29;Bács-Kiskun megye;23;0
2020.04.30;Bács-Kiskun megye;23;0
2020.05.01;Bács-Kiskun megye;23;0
2020.05.02;Bács-Kiskun megye;23;0
2020.05.03;Bács-Kiskun megye;23;0
2020.05.04;Bács-Kiskun megye;23;0
2020.05.05;Bács-Kiskun megye;23;0
2020.05.06;Bács-Kiskun megye;23;0
2020.05.07;Bács-Kiskun megye;23;0
2020.05.08;Bács-Kiskun megye;23;0
2020.05.09;Bács-Kiskun megye;23;0
2020.05.10;Bács-Kiskun megye;23;0
2020.05.11;Bács-Kiskun megye;23;0
2020.05.12;Bács-Kiskun megye;23;0
2020.05.13;Bács-Kiskun megye;23;0
2020.05.14;Bács-Kiskun megye;23;0
2020.05.15;Bács-Kiskun megye;23;0
2020.05.16;Bács-Kiskun megye;24;1
2020.05.17;Bács-Kiskun megye;24;0
2020.05.18;Bács-Kiskun megye;24;0
2020.05.19;Bács-Kiskun megye;24;0
2020.05.20;Bács-Kiskun megye;24;0
2020.05.21;Bács-Kiskun megye;24;0
2020.05.22;Bács-Kiskun megye;24;0
2020.05.23;Bács-Kiskun megye;24;0
2020.05.24;Bács-Kiskun megye;24;0
2020.05.25;Bács-Kiskun megye;24;0
2020.05.26;Bács-Kiskun megye;24;0
2020.05.27;Bács-Kiskun megye;24;0
2020.05.28;Bács-Kiskun megye;24;0
2020.05.29;Bács-Kiskun megye;24;0
2020.05.30;Bács-Kiskun megye;24;0
2020.05.31;Bács-Kiskun megye;24;0
2020.06.01;Bács-Kiskun megye;24;0
2020.06.02;Bács-Kiskun megye;24;0
2020.06.03;Bács-Kiskun megye;24;0
2020.06.04;Bács-Kiskun megye;24;0
2020.06.05;Bács-Kiskun megye;24;0
2020.06.06;Bács-Kiskun megye;24;0
2020.06.07;Bács-Kiskun megye;24;0
2020.06.08;Bács-Kiskun megye;24;0
2020.06.09;Bács-Kiskun megye;24;0
2020.06.10;Bács-Kiskun megye;24;0
2020.06.11;Bács-Kiskun megye;20;-4
2020.06.12;Bács-Kiskun megye;20;0
2020.06.13;Bács-Kiskun megye;20;0
2020.06.14;Bács-Kiskun megye;20;0
2020.06.15;Bács-Kiskun megye;21;1
2020.06.17;Bács-Kiskun megye;20;-1
2020.06.18;Bács-Kiskun megye;20;0
2020.06.19;Bács-Kiskun megye;20;0
2020.06.20;Bács-Kiskun megye;20;0
2020.06.21;Bács-Kiskun megye;20;0
2020.06.22;Bács-Kiskun megye;20;0
2020.06.23;Bács-Kiskun megye;20;0
2020.06.24;Bács-Kiskun megye;20;0
2020.06.25;Bács-Kiskun megye;20;0
2020.06.26;Bács-Kiskun megye;20;0
2020.06.27;Bács-Kiskun megye;20;0
2020.06.28;Bács-Kiskun megye;20;0
2020.06.29;Bács-Kiskun megye;20;0
2020.06.30;Bács-Kiskun megye;20;0
2020.07.01;Bács-Kiskun megye;20;0
2020.07.02;Bács-Kiskun megye;21;1
2020.07.03;Bács-Kiskun megye;21;0
2020.07.04;Bács-Kiskun megye;21;0
2020.07.05;Bács-Kiskun megye;21;0
2020.07.06;Bács-Kiskun megye;21;0
2020.07.07;Bács-Kiskun megye;21;0
2020.07.08;Bács-Kiskun megye;21;0
2020.07.09;Bács-Kiskun megye;23;2
2020.07.10;Bács-Kiskun megye;24;1
2020.07.11;Bács-Kiskun megye;24;0
2020.07.12;Bács-Kiskun megye;25;1
2020.07.13;Bács-Kiskun megye;25;0
2020.07.14;Bács-Kiskun megye;25;0
2020.07.15;Bács-Kiskun megye;25;0
